item_weight,item_fat_content,item_visibility,item_type,item_mrp,outlet_establishment_year,outlet_size,outlet_location_type,outlet_type,item_outlet_sales,time_operating,item_category_short
9.3,0,0.016047301,3,249.8092,1999.0,2,3,2,3735.138,14.0,1
5.92,2,0.019278216,13,48.2692,2009.0,2,1,3,443.4228,4.0,0
17.5,0,0.016760075,9,141.618,1999.0,2,3,2,2097.27,14.0,1
19.2,2,0.06595278007399324,5,182.095,1998.0,2,1,1,732.38,15.0,1
8.93,1,0.06595278007399324,8,53.8614,1987.0,3,1,2,994.7052,26.0,2
10.395,2,0.06595278007399324,0,51.4008,2009.0,2,1,3,556.6088,4.0,1
13.65,2,0.012741089,12,57.6588,1987.0,3,1,2,343.5528,26.0,1
12.792854228644284,0,0.127469857,12,107.7622,1985.0,2,1,4,4022.7636,28.0,1
16.2,2,0.016687114,4,96.9726,2002.0,2,2,2,1076.5986,11.0,1
19.2,2,0.09444959,4,187.8214,2007.0,2,2,2,4710.535,6.0,1
11.8,0,0.06595278007399324,5,45.5402,1999.0,2,3,2,1516.0266,14.0,1
18.5,2,0.045463773,3,144.1102,1997.0,1,3,2,2187.153,16.0,1
15.1,2,0.1000135,5,145.4786,1999.0,2,3,2,1589.2646,14.0,1
17.6,2,0.047257328,12,119.6782,1997.0,1,3,2,2145.2076,16.0,1
16.35,0,0.0680243,5,196.4426,1987.0,3,1,2,1977.426,26.0,1
9.0,2,0.069088961,1,56.3614,1997.0,1,3,2,1547.3192,16.0,1
11.8,1,0.008596051,7,115.3492,2009.0,2,1,3,1621.8888,4.0,2
9.0,2,0.069196376,1,54.3614,1999.0,2,3,2,718.3982,14.0,1
12.792854228644284,0,0.034237682,6,113.2834,1985.0,2,1,4,2303.668,28.0,0
13.35,0,0.10249212,3,230.5352,2004.0,1,2,2,2748.4224,9.0,1
18.85,2,0.138190277,12,250.8724,1987.0,3,1,2,3775.086,26.0,1
12.792854228644284,2,0.035399923,0,144.5444,1985.0,2,1,4,4064.0432,28.0,1
14.6,1,0.025698134,8,196.5084,2004.0,1,2,2,1587.2672,9.0,2
12.792854228644284,0,0.057556998,0,107.6938,1985.0,1,3,1,214.3876,28.0,1
13.85,2,0.025896485,4,165.021,1997.0,1,3,2,4078.025,16.0,1
13.0,1,0.099887103,8,45.906,2007.0,2,2,2,838.908,6.0,2
7.645,2,0.066693437,12,42.3112,2004.0,1,2,2,1065.28,9.0,1
11.65,0,0.019356132,6,39.1164,1987.0,3,1,2,308.9312,26.0,0
5.925,2,0.161466534,3,45.5086,1998.0,2,1,1,178.4344,15.0,1
12.792854228644284,2,0.072221801,2,43.6454,1985.0,1,3,1,125.8362,28.0,1
19.25,0,0.170348551,3,55.7956,1998.0,2,1,1,163.7868,15.0,1
18.6,1,0.080829372,7,96.4436,2009.0,2,1,3,2741.7644,4.0,2
18.7,0,0.06595278007399324,12,256.6672,2009.0,2,1,3,3068.0064,4.0,1
17.85,0,0.06595278007399324,0,93.1436,2002.0,2,2,2,2174.5028,11.0,1
17.5,0,0.097904029,13,174.8738,1997.0,1,3,2,2085.2856,16.0,0
10.0,1,0.089291137,7,146.7102,1999.0,2,3,2,3791.0652,14.0,2
12.792854228644284,2,0.059511812,5,128.0678,1985.0,2,1,4,2797.6916,28.0,1
8.85,2,0.113123893,13,122.5388,2009.0,2,1,3,1609.9044,4.0,0
12.792854228644284,2,0.123111453,12,36.9874,1985.0,2,1,4,388.1614,28.0,1
12.792854228644284,0,0.026480954,12,87.6198,1985.0,2,1,4,2180.495,28.0,1
13.35,0,0.102511504,3,230.6352,1997.0,1,3,2,3435.528,16.0,1
9.8,0,0.02681843,9,126.002,1987.0,3,1,2,2150.534,26.0,1
13.6,0,0.117818348,12,192.9136,1999.0,2,3,2,2527.3768,14.0,1
21.35,0,0.069102831,2,259.9278,2009.0,2,1,3,6768.5228,4.0,1
12.15,2,0.042277867,2,126.5046,1987.0,3,1,2,373.5138,26.0,1
6.42,0,0.089498926,3,178.1002,1998.0,2,1,1,358.2004,15.0,1
19.6,1,0.06595278007399324,7,153.3024,2002.0,2,2,2,2428.8384,11.0,2
10.0,0,0.025879577,2,265.2226,2002.0,2,2,2,5815.0972,11.0,1
15.85,2,0.121632721,0,60.622,1997.0,1,3,2,2576.646,16.0,1
12.792854228644284,2,0.255394896,3,196.8794,1985.0,1,3,1,780.3176,28.0,1
